kalimat,intent
Perpustakaan buka jam berapa,jam_operasional
Jam operasional perpustakaan hari ini,jam_operasional
Perpustakaan tutup jam berapa,jam_operasional
Jadwal buka perpustakaan minggu ini,jam_operasional
Hari apa saja perpustakaan buka,jam_operasional
Apakah sabtu perpustakaan buka,jam_operasional
Jam layanan perpustakaan BPK RI,jam_operasional
Perpustakaan buka sampai jam berapa sore,jam_operasional
Apakah minggu perpustakaan buka,jam_operasional
Perpustakaan libur hari apa saja,jam_operasional
Di mana lokasi perpustakaan BPK RI,lokasi
Alamat perpustakaan BPK RI,lokasi
Perpustakaan ada di mana,lokasi
Perpustakaan berada di lantai berapa,lokasi
Gedung apa yang ditempati perpustakaan,lokasi
Bagaimana cara menuju perpustakaan,lokasi
Di mana letak perpustakaan BPK,lokasi
Posisi perpustakaan BPK RI di mana,lokasi
Perpustakaan di gedung mana,lokasi
Ruangan perpustakaan ada di gedung apa,lokasi
Cara pinjam buku di perpustakaan,peminjaman_buku
Prosedur peminjaman buku,peminjaman_buku
Apa saja syarat pinjam buku,peminjaman_buku
Bagaimana cara meminjam buku,peminjaman_buku
Ketentuan peminjaman buku perpustakaan,peminjaman_buku
Berapa lama durasi peminjaman buku,peminjaman_buku
Berapa lama bisa pinjam buku,peminjaman_buku
Maksimal pinjam berapa buku sekaligus,peminjaman_buku
Cara perpanjang pinjaman buku,peminjaman_buku
Bagaimana cara perpanjangan buku,peminjaman_buku
Koleksi buku apa saja yang tersedia,koleksi
Saya ingin cari buku tentang hukum,koleksi
Apakah ada buku akuntansi,koleksi
Koleksi terbaru perpustakaan apa saja,koleksi
Ada buku berbahasa inggris tidak,koleksi
Jurnal apa saja yang tersedia,koleksi
Koleksi digital perpustakaan apa saja,koleksi
Apakah tersedia e-book di perpustakaan,koleksi
Ada database online perpustakaan tidak,koleksi
Bagaimana cara pencarian koleksi buku,koleksi
Fasilitas apa saja di perpustakaan,sarana_prasarana
Apakah ada ruang baca di perpustakaan,sarana_prasarana
Ruang diskusi perpustakaan tersedia tidak,sarana_prasarana
Apakah ada study buddy di perpustakaan,sarana_prasarana
Wifi perpustakaan BPK RI ada tidak,sarana_prasarana
Komputer perpustakaan bisa digunakan tidak,sarana_prasarana
Apakah tersedia loker di perpustakaan,sarana_prasarana
Sarana dan prasarana perpustakaan apa saja,sarana_prasarana
Apakah ada ruang multimedia perpustakaan,sarana_prasarana
Ada area santai di perpustakaan tidak,sarana_prasarana
Bagaimana cara mengusulkan buku baru,usulan_buku
Prosedur usulan koleksi baru perpustakaan,usulan_buku
Cara request buku ke perpustakaan,usulan_buku
Bagaimana cara mengajukan buku baru,usulan_buku
Di mana form usulan buku,usulan_buku
Apa prosedur untuk mengusulkan buku,usulan_buku
Saya ingin memberi saran pembelian buku,usulan_buku
Bagaimana cara mengusulkan buku baru ke perpustakaan,usulan_buku
Apakah bisa mengusulkan pengadaan buku,usulan_buku
Cara mengajukan usulan koleksi perpustakaan,usulan_buku
Jadwal kegiatan perpustakaan bulan ini,acara
Acara apa saja di perpustakaan,acara
Ada seminar tidak bulan ini,acara
Workshop perpustakaan kapan diadakan,acara
Apakah ada pelatihan literasi,acara
Informasi events perpustakaan,acara
Kegiatan apa saja yang diadakan perpustakaan,acara
Kapan ada seminar di perpustakaan,acara
Acara perpustakaan mendatang apa saja,acara
Jadwal workshop perpustakaan bulan ini,acara
Cara booking study buddy perpustakaan,study_buddy
Bagaimana cara booking ruang diskusi,study_buddy
